post_parent,ID,sku,parent_sku,meta:aws_url_field,meta:cdn_featured_image,meta:cdn_gallery_urls,meta:cdn_gallery_urls_0_cdn_gallery_link,meta:cdn_gallery_urls_1_cdn_gallery_link,meta:cdn_gallery_urls_2_cdn_gallery_link,meta:cdn_gallery_urls_3_cdn_gallery_link,meta:cdn_gallery_urls_4_cdn_gallery_link,meta:cdn_product_gallery,meta:cdn_url,meta:fin_sku_field,meta:wcbvp_variations_data
,64869,1213,,,,,,,,,,,,,
64869,67549,#55251,1213,,,,,,,,,,,01008-S-10K._ADD,
64869,67551,#55252,1213,,,,,,,,,,,01008-M-10K._ADD,
64869,67552,#55253,1213,,,,,,,,,,,01008-L-10K._ADD,
64869,67553,#55254,1213,,,,,,,,,,,01008-XL-10K._ADD,
64869,67554,#55255,1213,,,,,,,,,,,01008-2XL-10K._ADD,
64869,67555,#55256,1213,,,,,,,,,,,01008-3XL-10K._ADD,
64869,67556,#55257,1213,,,,,,,,,,,01008-4XL-10K._ADD,
64869,67557,#55258,1213,,,,,,,,,,,01008-5XL-10K._ADD,
64869,67558,#55267,1213,,,,,,,,,,,01008-S-AEEB._ADD,
64869,67559,#55268,1213,,,,,,,,,,,01008-M-AEEB._ADD,
64869,67560,#55269,1213,,,,,,,,,,,01008-L-AEEB._ADD,
64869,67561,#55270,1213,,,,,,,,,,,01008-XL-AEEB._ADD,
64869,67562,#55271,1213,,,,,,,,,,,01008-2XL-AEEB._ADD,
64869,67563,#55272,1213,,,,,,,,,,,01008-3XL-AEEB._ADD,
64869,67564,#55273,1213,,,,,,,,,,,01008-4XL-AEEB._ADD,
64869,67565,#55275,1213,,,,,,,,,,,01008-S-AZJN._ADD,
64869,67566,#55277,1213,,,,,,,,,,,01008-L-AZJN._ADD,
64869,67567,#55278,1213,,,,,,,,,,,01008-XL-AZJN._ADD,
64869,67568,#55279,1213,,,,,,,,,,,01008-2XL-AZJN._ADD,
64869,67569,#55281,1213,,,,,,,,,,,01008-4XL-AZJN._ADD,
64869,67570,#55282,1213,,,,,,,,,,,01008-5XL-AZJN._ADD,
64869,92662,#55259,1213,,,,,,,,,,,"01008-S-Black Plaid._ADD",
64869,92664,#55260,1213,,,,,,,,,,,"01008-M-Black Plaid._ADD",
64869,92666,#55261,1213,,,,,,,,,,,"01008-L-Black Plaid._ADD",
64869,92668,#55262,1213,,,,,,,,,,,"01008-XL-Black Plaid._ADD",
64869,92670,#55263,1213,,,,,,,,,,,"01008-2XL-Black Plaid._ADD",
64869,92672,#55264,1213,,,,,,,,,,,"01008-3XL-Black Plaid._ADD",
64869,92674,#55265,1213,,,,,,,,,,,"01008-4XL-Black Plaid._ADD",
64869,92676,#55266,1213,,,,,,,,,,,"01008-5XL-Black Plaid._ADD",
64869,92678,#55274,1213,,,,,,,,,,,01008-5XL-AEEB._ADD,
64869,92680,#55276,1213,,,,,,,,,,,01008-M-AZJN._ADD,
64869,92682,#55280,1213,,,,,,,,,,,01008-3XL-AZJN._ADD,
64869,92684,#55283,1213,,,,,,,,,,,01008-S-7KI._ADD,
64869,92686,#55284,1213,,,,,,,,,,,01008-M-7KI._ADD,
64869,92688,#55285,1213,,,,,,,,,,,01008-L-7KI._ADD,
64869,92690,#55286,1213,,,,,,,,,,,01008-XL-7KI._ADD,
64869,92692,#55287,1213,,,,,,,,,,,01008-2XL-7KI._ADD,
64869,92694,#55288,1213,,,,,,,,,,,01008-3XL-7KI._ADD,
64869,92696,#55289,1213,,,,,,,,,,,01008-4XL-7KI._ADD,
64869,92698,#55290,1213,,,,,,,,,,,01008-5XL-7KI._ADD,
64869,92700,#55291,1213,,,,,,,,,,,"01008-S-Red Plaid._ADD",
64869,92702,#55292,1213,,,,,,,,,,,"01008-M-Red Plaid._ADD",
64869,92704,#55293,1213,,,,,,,,,,,"01008-L-Red Plaid._ADD",
64869,92706,#55294,1213,,,,,,,,,,,"01008-XL-Red Plaid._ADD",
64869,92708,#55295,1213,,,,,,,,,,,"01008-2XL-Red Plaid._ADD",
64869,92710,#55296,1213,,,,,,,,,,,"01008-3XL-Red Plaid._ADD",
64869,92712,#55297,1213,,,,,,,,,,,"01008-4XL-Red Plaid._ADD",
64869,92714,#55298,1213,,,,,,,,,,,"01008-5XL-Red Plaid._ADD",
64869,92716,#55299,1213,,,,,,,,,,,"01008-S-Blackwatch Plaid._ADD",
64869,92718,#55300,1213,,,,,,,,,,,"01008-M-Blackwatch Plaid._ADD",
64869,92720,#55301,1213,,,,,,,,,,,"01008-L-Blackwatch Plaid._ADD",
64869,92722,#55302,1213,,,,,,,,,,,"01008-XL-Blackwatch Plaid._ADD",
64869,92724,#55303,1213,,,,,,,,,,,"01008-2XL-Blackwatch Plaid._ADD",
64869,92726,#55304,1213,,,,,,,,,,,"01008-3XL-Blackwatch Plaid._ADD",
64869,92728,#55305,1213,,,,,,,,,,,"01008-4XL-Blackwatch Plaid._ADD",
64869,92730,#55306,1213,,,,,,,,,,,"01008-5XL-Blackwatch Plaid._ADD",
,64870,1214,,,,,,,,,,,,,
64870,67571,#68063,1214,,,,,,,,,,,018NT4-LT-045._ADD,
64870,67572,#68064,1214,,,,,,,,,,,018NT4-XLT-045._ADD,
64870,67573,#68065,1214,,,,,,,,,,,018NT4-2XT-045._ADD,
64870,67574,#68066,1214,,,,,,,,,,,018NT4-3XT-045._ADD,
64870,67575,#68067,1214,,,,,,,,,,,018NT4-4XT-045._ADD,
