post_title,post_name,post_parent,ID,post_excerpt,post_content,post_status,post_password,menu_order,post_date,post_author,comment_status,sku,parent_sku,parent,children,downloadable,virtual,stock,regular_price,sale_price,weight,length,width,height,tax_class,stock_status,backorders,sold_individually,low_stock_amount,manage_stock,tax_status,upsell_ids,crosssell_ids,featured,purchase_note,sale_price_dates_from,sale_price_dates_to,download_limit,download_expiry,product_url,button_text,images,downloadable_files,product_page_url,meta:_yoast_wpseo_focuskw,meta:_yoast_wpseo_canonical,meta:_yoast_wpseo_bctitle,meta:_yoast_wpseo_meta-robots-adv,meta:_yoast_wpseo_is_cornerstone,meta:_yoast_wpseo_metadesc,meta:_yoast_wpseo_linkdex,meta:_yoast_wpseo_estimated-reading-time-minutes,meta:_yoast_wpseo_content_score,meta:_yoast_wpseo_title,meta:_yoast_wpseo_metakeywords,tax:product_brand,tax:product_gender,tax:product_collection,tax:product_productline,tax:product_type,tax:product_visibility,tax:product_cat,tax:product_tag,tax:product_shipping_class,meta:aws_url_field,meta:cdn_featured_image,meta:cdn_gallery_urls,meta:cdn_gallery_urls_0_cdn_gallery_link,meta:cdn_gallery_urls_1_cdn_gallery_link,meta:cdn_gallery_urls_2_cdn_gallery_link,meta:cdn_gallery_urls_3_cdn_gallery_link,meta:cdn_gallery_urls_4_cdn_gallery_link,meta:cdn_gallery_urls_5_cdn_gallery_link,meta:cdn_gallery_urls_6_cdn_gallery_link,meta:cdn_gallery_urls_7_cdn_gallery_link,meta:cdn_gallery_urls_8_cdn_gallery_link,meta:cdn_gallery_urls_9_cdn_gallery_link,meta:custom_editor_box,meta:cwg_total_subscribers,meta:fin_sku_field,meta:msrp_field,meta:product_banner,meta:product_style,meta:show_specific_messsage,meta:total_sales,meta:upc_field,meta:wcbvp_variations_data,meta:wcbvp_variations_data_enable,meta:wcbvp_variations_data_override,meta:wcbvp_variations_structure,meta:attribute_pa_color,meta:attribute_pa_size,attribute:pa_bratype,attribute_data:pa_bratype,attribute_default:pa_bratype,attribute:pa_closure,attribute_data:pa_closure,attribute_default:pa_closure,attribute:pa_color,attribute_data:pa_color,attribute_default:pa_color,attribute:pa_countryoforigin,attribute_data:pa_countryoforigin,attribute_default:pa_countryoforigin,attribute:pa_fabric,attribute_data:pa_fabric,attribute_default:pa_fabric,attribute:pa_innerpackqty,attribute_data:pa_innerpackqty,attribute_default:pa_innerpackqty,attribute:pa_neckdesign,attribute_data:pa_neckdesign,attribute_default:pa_neckdesign,attribute:pa_size,attribute_data:pa_size,attribute_default:pa_size,attribute:pa_sleevestyle,attribute_data:pa_sleevestyle,attribute_default:pa_sleevestyle
"Hanes Mens Micro Fleece Pant",hanes-mens-micro-fleece-pant,,64869,,"Youll never wake up on the wrong side of the bed in these soft and comfy micro fleece pants. Luxuriously soft fabric feels great against the skin. Button fly. Covered elastic waistband with adjustable drawstring for a no pinch fit. Available in a variety of plaid designs. Tag-free for itch-free comfort.",publish,,0,"2021-08-31 07:29:27",1,open,1213,,,,no,no,,,,,12,12,16,,outofstock,no,no,,no,taxable,,,,,,,'-1,'-1,,,"https://appareldirectdistributor.com/wp-content/uploads/2023/03/Hanes_01008_BlackWhite_Plaid.jpg ! alt :  ! title : Hanes_01008_BlackWhite_Plaid ! desc :  ! caption :  | https://appareldirectdistributor.com/wp-content/uploads/2023/03/Hanes_01008_Red_Plaid.jpg ! alt :  ! title : Hanes_01008_Red_Plaid ! desc :  ! caption :  | https://appareldirectdistributor.com/wp-content/uploads/2021/11/Hanes_01008_RedBlack_Plaid.jpg ! alt :  ! title : Hanes_01008_RedBlack_Plaid ! desc :  ! caption :  | https://appareldirectdistributor.com/wp-content/uploads/2021/10/Hanes_01008_Black_Plaid.jpg ! alt :  ! title : Hanes_01008_Black_Plaid ! desc :  ! caption :  | https://appareldirectdistributor.com/wp-content/uploads/2021/10/Hanes_01008_Blackwatch_Plaid.jpg ! alt :  ! title : Hanes_01008_Blackwatch_Plaid ! desc :  ! caption :  | https://appareldirectdistributor.com/wp-content/uploads/2021/10/Hanes_01008_Blue_Plaid.jpg ! alt :  ! title : Hanes_01008_Blue_Plaid ! desc :  ! caption :  | https://appareldirectdistributor.com/wp-content/uploads/2023/03/Hanes_01008_Blue_Buffalo_Plaid.jpg ! alt :  ! title : Hanes_01008_Blue_Buffalo_Plaid ! desc :  ! caption :  | https://appareldirectdistributor.com/wp-content/uploads/2023/03/Hanes_01008_Camo.jpg ! alt :  ! title : Hanes_01008_Camo ! desc :  ! caption :  | https://appareldirectdistributor.com/wp-content/uploads/2023/03/Hanes_01008_Green_Plaid_F22.jpg ! alt :  ! title : Hanes_01008_Green_Plaid_F22 ! desc :  ! caption :  | https://appareldirectdistributor.com/wp-content/uploads/2023/03/Hanes_01008_Red_Buffalo_Plaid.jpg ! alt :  ! title : Hanes_01008_Red_Buffalo_Plaid ! desc :  ! caption : ",,https://appareldirectdistributor.com/product/hanes-mens-micro-fleece-pant/,,,,,,,,,,,,Hanes,Men,,Fleece,variable,outofstock,"Men > Sleep/Loungewear > Bottoms|Men|Men > Sleep/Loungewear",,,,,,,,,,,,,,,,,0,,,,01008,,86,,,,,,,,,,,,,,"Black Plaid|Black/White Plaid|Blackwatch Plaid|Blue Buffalo Plaid|Blue Plaid|Camo|Green Plaid F22|Red Buffalo Plaid|Red Plaid|Red/Black Plaid",1|1|1,,,,,,,,,,,,,,S|M|L|XL|2XL|3XL|4XL|5XL,0|1|1,,,,
"Hanes Mens Micro Fleece Pant - M, Black Plaid",hanes-mens-micro-fleece-pant-black-plaid-m,64869,92664,"Size: M, Color: Black Plaid",,publish,,0,"2021-10-05 17:03:38",1,closed,#55260,1213,,,no,no,0,8.4000,,9,,,,parent,outofstock,no,no,,yes,taxable,,,,,,,'-1,'-1,,,"https://appareldirectdistributor.com/wp-content/uploads/2021/10/Hanes_01008_Black_Plaid_sw.jpg ! alt :  ! title : Hanes_01008_Black_Plaid_sw ! desc :  ! caption : ",,https://appareldirectdistributor.com/product/hanes-mens-micro-fleece-pant/,,,,,,,,,,,,,,,,,outofstock,,,,,,,,,,,,,,,,,,,"01008-M-Black Plaid._ADD",0,,01008,,0,00884514019501,,,,,"Black Plaid",M,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hanes Mens Micro Fleece Pant - S, Camo",hanes-mens-micro-fleece-pant-camo-s,64869,1073925,"Size: S, Color: Camo",,publish,,0,"2023-03-27 10:55:55",1,closed,#55251,1213,,,no,no,0,8.7000,,9,,,,parent,outofstock,no,no,,yes,taxable,,,,,,,'-1,'-1,,,"https://appareldirectdistributor.com/wp-content/uploads/2022/11/Hanes_01008_Camo_sw.jpg ! alt :  ! title : Hanes_01008_Camo_sw ! desc :  ! caption : ",,https://appareldirectdistributor.com/product/hanes-mens-micro-fleece-pant/,,,,,,,,,,,,,,,,,outofstock,,,,,,,,,,,,,,,,,,,01008-S-10K._ADD,0,,01008,,0,00884514046507,,,,,Camo,S,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hanes Mens Micro Fleece Pant - M, Camo",hanes-mens-micro-fleece-pant-camo-m,64869,1073926,"Size: M, Color: Camo",,publish,,0,"2023-03-27 10:55:55",1,closed,#55252,1213,,,no,no,0,8.7000,,9,,,,parent,outofstock,no,no,,yes,taxable,,,,,,,'-1,'-1,,,"https://appareldirectdistributor.com/wp-content/uploads/2022/11/Hanes_01008_Camo_sw.jpg ! alt :  ! title : Hanes_01008_Camo_sw ! desc :  ! caption : ",,https://appareldirectdistributor.com/product/hanes-mens-micro-fleece-pant/,,,,,,,,,,,,,,,,,outofstock,,,,,,,,,,,,,,,,,,,01008-M-10K._ADD,0,,01008,,0,00884514046491,,,,,Camo,M,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hanes Mens Micro Fleece Pant - L, Camo",hanes-mens-micro-fleece-pant-camo-l,64869,1073927,"Size: L, Color: Camo",,publish,,0,"2023-03-27 10:55:56",1,closed,#55253,1213,,,no,no,0,8.7000,,9,,,,parent,outofstock,no,no,,yes,taxable,,,,,,,'-1,'-1,,,"https://appareldirectdistributor.com/wp-content/uploads/2022/11/Hanes_01008_Camo_sw.jpg ! alt :  ! title : Hanes_01008_Camo_sw ! desc :  ! caption : ",,https://appareldirectdistributor.com/product/hanes-mens-micro-fleece-pant/,,,,,,,,,,,,,,,,,outofstock,,,,,,,,,,,,,,,,,,,01008-L-10K._ADD,0,,01008,,0,00884514046484,,,,,Camo,L,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hanes Mens Micro Fleece Pant - XL, Camo",hanes-mens-micro-fleece-pant-camo-xl,64869,1073928,"Size: XL, Color: Camo",,publish,,0,"2023-03-27 10:55:57",1,closed,#55254,1213,,,no,no,0,8.7000,,9,,,,parent,outofstock,no,no,,yes,taxable,,,,,,,'-1,'-1,,,"https://appareldirectdistributor.com/wp-content/uploads/2022/11/Hanes_01008_Camo_sw.jpg ! alt :  ! title : Hanes_01008_Camo_sw ! desc :  ! caption : ",,https://appareldirectdistributor.com/product/hanes-mens-micro-fleece-pant/,,,,,,,,,,,,,,,,,outofstock,,,,,,,,,,,,,,,,,,,01008-XL-10K._ADD,0,,01008,,0,00884514046514,,,,,Camo,XL,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hanes Mens Micro Fleece Pant - 2XL, Camo",hanes-mens-micro-fleece-pant-camo-2xl,64869,1073929,"Size: 2XL, Color: Camo",,publish,,0,"2023-03-27 10:55:57",1,closed,#55255,1213,,,no,no,0,8.7000,,9,,,,parent,outofstock,no,no,,yes,taxable,,,,,,,'-1,'-1,,,"https://appareldirectdistributor.com/wp-content/uploads/2022/11/Hanes_01008_Camo_sw.jpg ! alt :  ! title : Hanes_01008_Camo_sw ! desc :  ! caption : ",,https://appareldirectdistributor.com/product/hanes-mens-micro-fleece-pant/,,,,,,,,,,,,,,,,,outofstock,,,,,,,,,,,,,,,,,,,01008-2XL-10K._ADD,0,,01008,,0,00884514046477,,,,,Camo,2XL,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hanes Mens Micro Fleece Pant - 3XL, Camo",hanes-mens-micro-fleece-pant-camo-3xl,64869,1073930,"Size: 3XL, Color: Camo",,publish,,0,"2023-03-27 10:55:57",1,closed,#55256,1213,,,no,no,0,8.7000,,9,,,,parent,outofstock,no,no,,yes,taxable,,,,,,,'-1,'-1,,,"https://appareldirectdistributor.com/wp-content/uploads/2022/11/Hanes_01008_Camo_sw.jpg ! alt :  ! title : Hanes_01008_Camo_sw ! desc :  ! caption : ",,https://appareldirectdistributor.com/product/hanes-mens-micro-fleece-pant/,,,,,,,,,,,,,,,,,outofstock,,,,,,,,,,,,,,,,,,,01008-3XL-10K._ADD,0,,01008,,0,00884514046651,,,,,Camo,3XL,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hanes Mens Micro Fleece Pant - 4XL, Camo",hanes-mens-micro-fleece-pant-camo-4xl,64869,1073931,"Size: 4XL, Color: Camo",,publish,,0,"2023-03-27 10:55:58",1,closed,#55257,1213,,,no,no,0,8.7000,,9,,,,parent,outofstock,no,no,,yes,taxable,,,,,,,'-1,'-1,,,"https://appareldirectdistributor.com/wp-content/uploads/2022/11/Hanes_01008_Camo_sw.jpg ! alt :  ! title : Hanes_01008_Camo_sw ! desc :  ! caption : ",,https://appareldirectdistributor.com/product/hanes-mens-micro-fleece-pant/,,,,,,,,,,,,,,,,,outofstock,,,,,,,,,,,,,,,,,,,01008-4XL-10K._ADD,0,,01008,,0,00884514046668,,,,,Camo,4XL,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hanes Mens Micro Fleece Pant - 5XL, Camo",hanes-mens-micro-fleece-pant-camo-5xl,64869,1073932,"Size: 5XL, Color: Camo",,publish,,0,"2023-03-27 10:55:58",1,closed,#55258,1213,,,no,no,0,8.7000,,9,,,,parent,outofstock,no,no,,yes,taxable,,,,,,,'-1,'-1,,,"https://appareldirectdistributor.com/wp-content/uploads/2022/11/Hanes_01008_Camo_sw.jpg ! alt :  ! title : Hanes_01008_Camo_sw ! desc :  ! caption : ",,https://appareldirectdistributor.com/product/hanes-mens-micro-fleece-pant/,,,,,,,,,,,,,,,,,outofstock,,,,,,,,,,,,,,,,,,,01008-5XL-10K._ADD,0,,01008,,0,00884514046675,,,,,Camo,5XL,,,,,,,,,,,,,,,,,,,,,,,,,,,
