post_title,post_name,post_parent,ID,post_excerpt,post_content,post_status,post_password,menu_order,post_date,post_author,comment_status,sku,parent_sku,parent,children,downloadable,virtual,stock,regular_price,sale_price,weight,length,width,height,tax_class,stock_status,backorders,sold_individually,low_stock_amount,manage_stock,tax_status,upsell_ids,crosssell_ids,featured,purchase_note,sale_price_dates_from,sale_price_dates_to,download_limit,download_expiry,product_url,button_text,images,downloadable_files,product_page_url,tax:product_brand,tax:product_gender,tax:product_type,tax:product_visibility,tax:product_cat,tax:product_tag,tax:product_shipping_class,meta:product_banner,meta:total_sales,meta:wcbvp_variations_structure,meta:attribute_pa_color,meta:attribute_pa_size,attribute:pa_color,attribute_data:pa_color,attribute_default:pa_color,attribute:pa_size,attribute_data:pa_size,attribute_default:pa_size
"Product 1",product-1,,16,,,publish,,0,"2021-05-07 12:28:13",1,open,,,,,no,no,199,10,,,,,,,instock,no,no,,yes,taxable,,,,,,,'-1,'-1,,,,,http://205.134.254.135/~teamh/apparel_direct/product/product-1/,Bali,,variable,,"Clothing &amp; Accessories|Clothing &amp; Accessories > Baby > Baby Boys > Accessories > Socks|Clothing &amp; Accessories > Boys > Underwear > Undershirts|Clothing &amp; Accessories > Girls > Underwear",,,,1,"{""columns"":""pa_size"",""rows"":""pa_color""}",,,Black|Red,0|1|1,,M|XL,1|1|1,
"Product 1 - Black, M",test-product-m-black,16,22,"Color: Black, Size: M",,publish,,1,"2021-06-11 14:05:23",1,closed,,,,,no,no,,10,,,,,,parent,instock,no,no,,no,taxable,,,,,,,'-1,'-1,,,,,http://205.134.254.135/~teamh/apparel_direct/product/product-1/,,,,,,,,,0,,Black,M,,,,,,
"Product 1 - Black, XL",test-product-xl-black,16,23,"Color: Black, Size: XL",,publish,,2,"2021-06-11 14:05:23",1,closed,,,,,no,no,,12,,,,,,parent,instock,no,no,,no,taxable,,,,,,,'-1,'-1,,,,,http://205.134.254.135/~teamh/apparel_direct/product/product-1/,,,,,,,,,0,,Black,XL,,,,,,
"Product 1 - Red, M",test-product-m-red,16,24,"Color: Red, Size: M",,publish,,3,"2021-06-11 14:05:23",1,closed,,,,,no,no,,10,,,,,,parent,instock,no,no,,no,taxable,,,,,,,'-1,'-1,,,,,http://205.134.254.135/~teamh/apparel_direct/product/product-1/,,,,,,,,,0,,Red,M,,,,,,
"Product 1 - Red, XL",test-product-xl-red,16,25,"Color: Red, Size: XL",,publish,,4,"2021-06-11 14:05:23",1,closed,,,,,no,no,,12,,,,,,parent,instock,no,no,,no,taxable,,,,,,,'-1,'-1,,,,,http://205.134.254.135/~teamh/apparel_direct/product/product-1/,,,,,,,,,0,,Red,XL,,,,,,
"Product 2",product-2,,26,,"Donec velit risus, aliquet vel cursus sed, pulvinar at nisl. Sed aliquam mauris dignissim nunc ultricies pulvinar. Morbi ac eros tempus, rutrum augue et, tincidunt odio. Sed vitae lorem sit amet lacus accumsan faucibus ac eu dolor. Cras eget elit arcu. Pellentesque tristique porta cursus. Sed risus diam, condimentum ullamcorper tincidunt ac, sodales a nunc. Nullam felis sapien, euismod ac quam sed, pulvinar congue eros. Proin sit amet arcu malesuada, ullamcorper felis sed, vestibulum nisl. Proin bibendum vitae ligula maximus placerat. Pellentesque quis nisi vel est finibus faucibus. Lorem ipsum dolor sit amet, consectetur adipiscing elit. Donec semper et est nec viverra. Class aptent taciti sociosqu ad litora torquent per conubia nostra, per inceptos himenaeos.",publish,,0,"2021-06-11 16:58:53",1,closed,HK25674,,,,no,no,159,7,,,,,,,instock,no,no,,yes,taxable,,,,,,,'-1,'-1,,,"http://205.134.254.135/~teamh/apparel_direct/wp-content/uploads/2021/06/rec3.jpg ! alt :  ! title : rec3 ! desc :  ! caption :  | http://205.134.254.135/~teamh/apparel_direct/wp-content/uploads/2021/06/men-menu.jpg ! alt :  ! title : men-menu ! desc :  ! caption :  | http://205.134.254.135/~teamh/apparel_direct/wp-content/uploads/2021/06/girls-menu.jpg ! alt :  ! title : girls-menu ! desc :  ! caption :  | http://205.134.254.135/~teamh/apparel_direct/wp-content/uploads/2021/06/boys-menu.jpg ! alt :  ! title : boys-menu ! desc :  ! caption : ",,http://205.134.254.135/~teamh/apparel_direct/product/product-2/,Bali|Champion|Hanes|Maidenform|Playtex,,variable,,"Clothing &amp; Accessories > Baby > Baby Boys",,,122,41,"{""columns"":""pa_size"",""rows"":""pa_color""}",,,Black|Blue|Green|Red|White,0|1|1,,L|M|S|XL|XXL,1|1|1,
"Product 2 - Black, L",product-2-l-black,26,90,"Color: Black, Size: L",,publish,,1,"2021-06-21 14:14:31",1,closed,,HK25674,,,no,no,0,8,7,,,,,parent,instock,no,no,,no,taxable,,,,,,,'-1,'-1,,,,,http://205.134.254.135/~teamh/apparel_direct/product/product-2/,,,,,,,,,0,,Black,L,,,,,,
"Product 2 - Black, M",product-2-m-black,26,91,"Color: Black, Size: M",,publish,,2,"2021-06-21 14:14:31",1,closed,,HK25674,,,no,no,0,8,,,,,,parent,instock,no,no,,no,taxable,,,,,,,'-1,'-1,,,,,http://205.134.254.135/~teamh/apparel_direct/product/product-2/,,,,,,,,,0,,Black,M,,,,,,
"Product 2 - Black, S",product-2-s-black,26,92,"Color: Black, Size: S",,publish,,3,"2021-06-21 14:14:31",1,closed,,HK25674,,,no,no,0,11,,,,,,parent,instock,no,no,,no,taxable,,,,,,,'-1,'-1,,,,,http://205.134.254.135/~teamh/apparel_direct/product/product-2/,,,,,,,,,0,,Black,S,,,,,,
"Product 2 - Black, XL",product-2-xl-black,26,93,"Color: Black, Size: XL",,publish,,4,"2021-06-21 14:14:31",1,closed,,HK25674,,,no,no,0,9,,,,,,parent,instock,no,no,,no,taxable,,,,,,,'-1,'-1,,,,,http://205.134.254.135/~teamh/apparel_direct/product/product-2/,,,,,,,,,0,,Black,XL,,,,,,
