post_title,post_name,post_parent,ID,post_excerpt,post_content,post_status,post_password,menu_order,post_date,post_author,comment_status,sku,parent_sku,parent,children,downloadable,virtual,stock,regular_price,sale_price,weight,length,width,height,tax_class,stock_status,backorders,sold_individually,low_stock_amount,manage_stock,tax_status,upsell_ids,crosssell_ids,featured,purchase_note,sale_price_dates_from,sale_price_dates_to,download_limit,download_expiry,product_url,button_text,images,downloadable_files,product_page_url,tax:product_brand,tax:product_gender,tax:product_collection,tax:product_productline,tax:product_type,tax:product_visibility,tax:product_cat,tax:product_tag,tax:product_shipping_class,meta:msrp_field,meta:product_banner,meta:product_style,meta:total_sales,meta:upc_field,meta:wcbvp_variations_structure,meta:attribute_pa_color,meta:attribute_pa_size,attribute:BigAndTall,attribute_data:BigAndTall,attribute_default:BigAndTall,attribute:BraType,attribute_data:BraType,attribute_default:BraType,attribute:Closure,attribute_data:Closure,attribute_default:Closure,attribute:ControlLevel,attribute_data:ControlLevel,attribute_default:ControlLevel,attribute:CountryOfOrigin,attribute_data:CountryOfOrigin,attribute_default:CountryOfOrigin,attribute:Fabric,attribute_data:Fabric,attribute_default:Fabric,attribute:InnerPackQty,attribute_data:InnerPackQty,attribute_default:InnerPackQty,attribute:Inseam,attribute_data:Inseam,attribute_default:Inseam,attribute:NeckDesign,attribute_data:NeckDesign,attribute_default:NeckDesign,attribute:Silhouette,attribute_data:Silhouette,attribute_default:Silhouette,attribute:SleeveStyle,attribute_data:SleeveStyle,attribute_default:SleeveStyle,attribute:pa_color,attribute_data:pa_color,attribute_default:pa_color,attribute:pa_size,attribute_data:pa_size,attribute_default:pa_size
"Product 1",product-1,,16,,"In euismod mollis augue, ut semper lacus varius vel. Nulla id cursus neque, elementum efficitur ligula. Sed justo arcu, scelerisque eget arcu sit amet, volutpat tincidunt purus. Sed facilisis volutpat ex. Orci varius natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Quisque at consequat est. Morbi interdum orci vel magna faucibus, vitae suscipit lorem efficitur. Donec vel magna sodales, viverra eros ac, feugiat nulla. Sed sagittis ipsum sed gravida volutpat. Proin luctus suscipit lacus sed viverra. Duis et fermentum erat. Aenean magna massa, pretium sed orci non, varius ullamcorper nisl. Nulla facilisi. Curabitur tempor dignissim augue nec sollicitudin. Sed at nisi sit amet arcu consequat porttitor non consectetur justo. Sed a suscipit nisl.

Sed ut mauris dictum, egestas nisl nec, tincidunt nisl. Aliquam erat volutpat. Donec velit velit, fermentum at dolor id, sollicitudin maximus nisl. In ac tortor pretium, scelerisque diam malesuada, varius velit. Fusce elementum, lacus id vestibulum hendrerit, mi ligula finibus magna, in hendrerit dui odio eu sapien. Quisque porta, enim ut mattis suscipit, libero magna ultrices mauris, in iaculis urna risus at ipsum. Etiam fermentum mollis leo, nec euismod erat ornare a. Fusce blandit non est ut hendrerit. Aenean dignissim, risus at hendrerit faucibus, nisl massa hendrerit diam, vitae porta enim odio sed nulla.",publish,,0,"2021-05-07 12:28:13",1,open,,,,,no,no,199,10,,,,,,,instock,no,no,,yes,taxable,,,,,,,'-1,'-1,,,,,http://205.134.254.135/~teamh/apparel_direct/product/product-1/,Bali,,,,variable,,"Uncategorized|Boys|Boys > Thermal",,,,743,,1,,"{""columns"":""pa_size"",""rows"":""pa_color""}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Black|Red,0|1|1,,M|XL,1|1|1,
"Product 1 - Black, M",test-product-m-black,16,22,"Color: Black, Size: M",,publish,,1,"2021-06-11 14:05:23",1,closed,,,,,no,no,,10,,,,,,parent,instock,no,no,,no,taxable,,,,,,,'-1,'-1,,,,,http://205.134.254.135/~teamh/apparel_direct/product/product-1/,,,,,,,,,,,,,0,,,Black,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Product 1 - Black, XL",test-product-xl-black,16,23,"Color: Black, Size: XL",,publish,,2,"2021-06-11 14:05:23",1,closed,,,,,no,no,,12,,,,,,parent,instock,no,no,,no,taxable,,,,,,,'-1,'-1,,,,,http://205.134.254.135/~teamh/apparel_direct/product/product-1/,,,,,,,,,,,,,0,,,Black,XL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Product 1 - Red, M",test-product-m-red,16,24,"Color: Red, Size: M",,publish,,3,"2021-06-11 14:05:23",1,closed,,,,,no,no,,10,,,,,,parent,instock,no,no,,no,taxable,,,,,,,'-1,'-1,,,,,http://205.134.254.135/~teamh/apparel_direct/product/product-1/,,,,,,,,,,,,,0,,,Red,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Product 1 - Red, XL",test-product-xl-red,16,25,"Color: Red, Size: XL",,publish,,4,"2021-06-11 14:05:23",1,closed,,,,,no,no,,12,,,,,,parent,instock,no,no,,no,taxable,,,,,,,'-1,'-1,,,,,http://205.134.254.135/~teamh/apparel_direct/product/product-1/,,,,,,,,,,,,,0,,,Red,XL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Product 2",product-2,,26,,"Donec velit risus, aliquet vel cursus sed, pulvinar at nisl. Sed aliquam mauris dignissim nunc ultricies pulvinar. Morbi ac eros tempus, rutrum augue et, tincidunt odio. Sed vitae lorem sit amet lacus accumsan faucibus ac eu dolor. Cras eget elit arcu. Pellentesque tristique porta cursus. Sed risus diam, condimentum ullamcorper tincidunt ac, sodales a nunc. Nullam felis sapien, euismod ac quam sed, pulvinar congue eros. Proin sit amet arcu malesuada, ullamcorper felis sed, vestibulum nisl. Proin bibendum vitae ligula maximus placerat. Pellentesque quis nisi vel est finibus faucibus. Lorem ipsum dolor sit amet, consectetur adipiscing elit. Donec semper et est nec viverra. Class aptent taciti sociosqu ad litora torquent per conubia nostra, per inceptos himenaeos.",publish,,0,"2021-06-11 16:58:53",1,closed,HK25674,,,,no,no,159,4,,,,,,,instock,no,no,,yes,taxable,,,,,,,'-1,'-1,,,"http://205.134.254.135/~teamh/apparel_direct/wp-content/uploads/2021/06/rec3.jpg ! alt :  ! title : rec3 ! desc :  ! caption :  | http://205.134.254.135/~teamh/apparel_direct/wp-content/uploads/2021/06/men-menu.jpg ! alt :  ! title : men-menu ! desc :  ! caption :  | http://205.134.254.135/~teamh/apparel_direct/wp-content/uploads/2021/06/girls-menu.jpg ! alt :  ! title : girls-menu ! desc :  ! caption :  | http://205.134.254.135/~teamh/apparel_direct/wp-content/uploads/2021/06/boys-menu.jpg ! alt :  ! title : boys-menu ! desc :  ! caption : ",,http://205.134.254.135/~teamh/apparel_direct/product/product-2/,Bali|Champion|Hanes|Maidenform|Playtex,,,,variable,,Uncategorized|Boys,,,,122,,41,,"{""columns"":""pa_size"",""rows"":""pa_color""}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Black|Blue|Green|Orange|Purple|Red|Sky Blue|White|Yellow",0|1|1,,2XL|3XL|4XL|L|M|S|XL|XS|XXL,1|1|1,
"Product 2 - Black, 2XL",product-2-2xl-black,26,820,"Color: Black, Size: 2XL",,publish,,1,"2021-07-08 09:58:23",1,closed,,HK25674,,,no,no,10,8,,,,,,parent,instock,no,no,,yes,taxable,,,,,,,'-1,'-1,,,,,http://205.134.254.135/~teamh/apparel_direct/product/product-2/,,,,,,,,,,12,,,0,abcd,,Black,2XL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Product 2 - Black, 3XL",product-2-3xl-black,26,821,"Color: Black, Size: 3XL",,publish,,2,"2021-07-08 09:58:23",1,closed,,HK25674,,,no,no,0,9,,,,,,parent,instock,no,no,,no,taxable,,,,,,,'-1,'-1,,,,,http://205.134.254.135/~teamh/apparel_direct/product/product-2/,,,,,,,,,,12,,,0,,,Black,3XL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Product 2 - Black, 4XL",product-2-4xl-black,26,822,"Color: Black, Size: 4XL",,publish,,3,"2021-07-08 09:58:23",1,closed,,HK25674,,,no,no,0,8,,,,,,parent,instock,no,no,,no,taxable,,,,,,,'-1,'-1,,,,,http://205.134.254.135/~teamh/apparel_direct/product/product-2/,,,,,,,,,,,,,0,,,Black,4XL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Product 2 - Black, XS",product-2-xs-black,26,823,"Color: Black, Size: XS",,publish,,4,"2021-07-08 09:58:23",1,closed,,HK25674,,,no,no,0,7,,,,,,parent,instock,no,no,,no,taxable,,,,,,,'-1,'-1,,,,,http://205.134.254.135/~teamh/apparel_direct/product/product-2/,,,,,,,,,,,,,0,,,Black,XS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
