post_title,post_name,post_parent,ID,post_excerpt,post_content,post_status,post_password,menu_order,post_date,post_author,comment_status,sku,parent_sku,parent,children,downloadable,virtual,stock,regular_price,sale_price,weight,length,width,height,tax_class,stock_status,backorders,sold_individually,low_stock_amount,manage_stock,tax_status,upsell_ids,crosssell_ids,featured,purchase_note,sale_price_dates_from,sale_price_dates_to,download_limit,download_expiry,product_url,button_text,images,downloadable_files,product_page_url,meta:_yoast_wpseo_focuskw,meta:_yoast_wpseo_canonical,meta:_yoast_wpseo_bctitle,meta:_yoast_wpseo_meta-robots-adv,meta:_yoast_wpseo_is_cornerstone,meta:_yoast_wpseo_metadesc,meta:_yoast_wpseo_linkdex,meta:_yoast_wpseo_estimated-reading-time-minutes,meta:_yoast_wpseo_content_score,meta:_yoast_wpseo_title,meta:_yoast_wpseo_metakeywords,tax:product_brand,tax:product_gender,tax:product_collection,tax:product_productline,tax:product_type,tax:product_visibility,tax:product_cat,tax:product_tag,tax:product_shipping_class,meta:custom_editor_box,meta:cwg_total_subscribers,meta:fin_sku_field,meta:msrp_field,meta:product_banner,meta:product_style,meta:show_specific_messsage,meta:total_sales,meta:upc_field,meta:wcbvp_variations_data,meta:wcbvp_variations_data_enable,meta:wcbvp_variations_data_override,meta:wcbvp_variations_structure,meta:attribute_pa_color,meta:attribute_pa_size,attribute:pa_bratype,attribute_data:pa_bratype,attribute_default:pa_bratype,attribute:pa_closure,attribute_data:pa_closure,attribute_default:pa_closure,attribute:pa_color,attribute_data:pa_color,attribute_default:pa_color,attribute:pa_countryoforigin,attribute_data:pa_countryoforigin,attribute_default:pa_countryoforigin,attribute:pa_fabric,attribute_data:pa_fabric,attribute_default:pa_fabric,attribute:pa_innerpackqty,attribute_data:pa_innerpackqty,attribute_default:pa_innerpackqty,attribute:pa_neckdesign,attribute_data:pa_neckdesign,attribute_default:pa_neckdesign,attribute:pa_size,attribute_data:pa_size,attribute_default:pa_size,attribute:pa_sleevestyle,attribute_data:pa_sleevestyle,attribute_default:pa_sleevestyle
"Hanes Mens Sport™ FreshIQ™ Cool DRI® Long Sleeve Tee",hanes-mens-sport-freshiq-cool-dri-long-sleeve-tee,,65209,,"Wanna stay dry? No sweat. Our Cool DRI® T-Shirt's dry-fast technology keeps you cool and comfortable even when the competition heats up. Plus Cool DRI® T-Shirts carry an excellent Ultraviolet Protection Factor rating of 50 . Rapid-dry interlock jersey knit wicks away moisture to keep you cool50  UPF rating for excellent UV protection. More tailored contemporary fit. Tag-free neckline. Double-needle stitching in neck sleeves and bottom hem for added durability. Safety colors offer enhanced visibility.",publish,,0,"2021-08-31 07:39:13",1,open,1354,,,,no,no,,7.7100,,,12,12,16,,instock,no,no,,no,taxable,,,,,,,'-1,'-1,,,"https://appareldirectdistributor.com/wp-content/uploads/2021/10/Hanes_482L_Black.jpg ! alt :  ! title : Hanes_482L_Black ! desc :  ! caption :  | https://appareldirectdistributor.com/wp-content/uploads/2021/10/Hanes_482L_Deep_Red.jpg ! alt :  ! title : Hanes_482L_Deep_Red ! desc :  ! caption :  | https://appareldirectdistributor.com/wp-content/uploads/2021/10/Hanes_482L_Deep_Royal.jpg ! alt :  ! title : Hanes_482L_Deep_Royal ! desc :  ! caption :  | https://appareldirectdistributor.com/wp-content/uploads/2021/10/Hanes_482L_Graphite.jpg ! alt :  ! title : Hanes_482L_Graphite ! desc :  ! caption :  | https://appareldirectdistributor.com/wp-content/uploads/2021/10/Hanes_482L_Light_Blue.jpg ! alt :  ! title : Hanes_482L_Light_Blue ! desc :  ! caption :  | https://appareldirectdistributor.com/wp-content/uploads/2021/10/Hanes_482L_Navy.jpg ! alt :  ! title : Hanes_482L_Navy ! desc :  ! caption :  | https://appareldirectdistributor.com/wp-content/uploads/2021/10/Hanes_482L_Safety_Green.jpg ! alt :  ! title : Hanes_482L_Safety_Green ! desc :  ! caption :  | https://appareldirectdistributor.com/wp-content/uploads/2021/10/Hanes_482L_Safety_Orange.jpg ! alt :  ! title : Hanes_482L_Safety_Orange ! desc :  ! caption :  | https://appareldirectdistributor.com/wp-content/uploads/2021/10/Hanes_482L_White.jpg ! alt :  ! title : Hanes_482L_White ! desc :  ! caption :  | https://appareldirectdistributor.com/wp-content/uploads/2021/10/Hanes_482L_Wow_Pink.jpg ! alt :  ! title : Hanes_482L_Wow_Pink ! desc :  ! caption :  | https://appareldirectdistributor.com/wp-content/uploads/2021/10/coming-soon-img-829.jpg ! alt :  ! title : coming-soon-img.jpg ! desc :  ! caption : ",,https://appareldirectdistributor.com/product/hanes-mens-sport-freshiq-cool-dri-long-sleeve-tee/,,,,,,,,1,90,,,Hanes,Men,"Hanes Sport",FreshIQ,variable,,"Men|Men > Tops > Tees|Men > Tops",,,,0,,,,482L,global_text_message,1074,,"{""hide_add_to_cart"":""0"",""disable_purchasing"":""0"",""show_stock"":""1"",""variation_images"":""1"",""use_lightbox"":""1""}",,1,"{""columns"":""pa_size"",""rows"":""pa_color""}",,,,,,,,,"Army Brown|Black|Deep Red|Deep Royal|Graphite|Light Blue|Navy|Safety Green|Safety Orange|White|Wow Pink",1|1|1,,,,,,,,,,,,,,XS|S|M|L|XL|2XL|3XL,0|1|1,,,,
"Hanes Mens Sport™ FreshIQ™ Cool DRI® Long Sleeve Tee - L, Graphite",hanes-mens-sport-freshiq-cool-dri-long-sleeve-tee-graphite-l,65209,135121,"Size: L, Color: Graphite",,publish,,1,"2021-10-19 00:11:14",1,closed,#6436,1354,,,no,no,2997,7.7100,,6.528,,,,parent,instock,no,no,,yes,taxable,,,,,,,'-1,'-1,,,"https://appareldirectdistributor.com/wp-content/uploads/2021/10/Hanes_482L_Graphite_sw.jpg ! alt :  ! title : Hanes_482L_Graphite_sw ! desc :  ! caption : ",,https://appareldirectdistributor.com/product/hanes-mens-sport-freshiq-cool-dri-long-sleeve-tee/,,,,,,,,,,,,,,,,,,,,,,,482L-L-Graphite._ADD,,,482L,,0,00011919749119,,,,,Graphite,L,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hanes Mens Sport™ FreshIQ™ Cool DRI® Long Sleeve Tee - XS, Light Blue",hanes-mens-sport-freshiq-cool-dri-long-sleeve-tee-light-blue-xs,65209,135122,"Size: XS, Color: Light Blue",,publish,,2,"2021-10-19 00:11:14",1,closed,#6440,1354,,,no,no,0,6.7900,,5.856,,,,parent,outofstock,no,no,,yes,taxable,,,,,,,'-1,'-1,,,"https://appareldirectdistributor.com/wp-content/uploads/2021/10/Hanes_482L_Light_Blue_sw.jpg ! alt :  ! title : Hanes_482L_Light_Blue_sw ! desc :  ! caption : ",,https://appareldirectdistributor.com/product/hanes-mens-sport-freshiq-cool-dri-long-sleeve-tee/,,,,,,,,,,,,,,,,,outofstock,,,,,,"482L-XS-Light Blue._ADD",,,482L,,0,00011919749157,,,,,"Light Blue",XS,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hanes Mens Sport™ FreshIQ™ Cool DRI® Long Sleeve Tee - XS, Black",hanes-mens-sport-freshiq-cool-dri-long-sleeve-tee-black-xs,65209,135118,"Size: XS, Color: Black",,publish,,3,"2021-10-19 00:11:13",1,closed,#6412,1354,,,no,no,186,7.7100,,5.12,,,,parent,instock,no,no,,yes,taxable,,,,,,,'-1,'-1,,,"https://appareldirectdistributor.com/wp-content/uploads/2021/10/Hanes_482L_Black_sw.jpg ! alt :  ! title : Hanes_482L_Black_sw ! desc :  ! caption : ",,https://appareldirectdistributor.com/product/hanes-mens-sport-freshiq-cool-dri-long-sleeve-tee/,,,,,,,,,,,,,,,,,,,,,,,482L-XS-Black._ADD,,,482L,,0,00011919748273,,,,,Black,XS,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hanes Mens Sport™ FreshIQ™ Cool DRI® Long Sleeve Tee - S, Black",hanes-mens-sport-freshiq-cool-dri-long-sleeve-tee-s-black,65209,69374,"Size: S, Color: Black","Wanna stay dry? No sweat. Our Cool DRI® T-Shirt's dry-fast technology keeps you cool and comfortable even when the competition heats up. Plus Cool DRI® T-Shirts carry an excellent Ultraviolet Protection Factor rating of 50 . Rapid-dry interlock jersey knit wicks away moisture to keep you cool50  UPF rating for excellent UV protection. More tailored contemporary fit. Tag-free neckline. Double-needle stitching in neck sleeves and bottom hem for added durability. Safety colors offer enhanced visibility.",publish,,4,"2021-08-31 09:44:33",1,closed,#6413,1354,,,no,no,654,7.7100,,5.296,,,,,instock,no,no,,yes,taxable,,,,,,,'-1,'-1,,,"https://appareldirectdistributor.com/wp-content/uploads/2021/10/Hanes_482L_Black_sw.jpg ! alt :  ! title : Hanes_482L_Black_sw ! desc :  ! caption : ",,https://appareldirectdistributor.com/product/hanes-mens-sport-freshiq-cool-dri-long-sleeve-tee/,,,,,,,,,,,,Hanes,Men,"Hanes Sport",FreshIQ,,,,,,,,482L-S-Black._ADD,,,482L,,0,00011919748280,,,,,Black,S,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hanes Mens Sport™ FreshIQ™ Cool DRI® Long Sleeve Tee - M, Black",hanes-mens-sport-freshiq-cool-dri-long-sleeve-tee-m-black,65209,69375,"Size: M, Color: Black","Wanna stay dry? No sweat. Our Cool DRI® T-Shirt's dry-fast technology keeps you cool and comfortable even when the competition heats up. Plus Cool DRI® T-Shirts carry an excellent Ultraviolet Protection Factor rating of 50 . Rapid-dry interlock jersey knit wicks away moisture to keep you cool50  UPF rating for excellent UV protection. More tailored contemporary fit. Tag-free neckline. Double-needle stitching in neck sleeves and bottom hem for added durability. Safety colors offer enhanced visibility.",publish,,5,"2021-08-31 09:44:33",1,closed,#6414,1354,,,no,no,977,7.7100,,6.176,,,,,instock,no,no,,yes,taxable,,,,,,,'-1,'-1,,,"https://appareldirectdistributor.com/wp-content/uploads/2021/10/Hanes_482L_Black_sw.jpg ! alt :  ! title : Hanes_482L_Black_sw ! desc :  ! caption : ",,https://appareldirectdistributor.com/product/hanes-mens-sport-freshiq-cool-dri-long-sleeve-tee/,,,,,,,,,,,,Hanes,Men,"Hanes Sport",FreshIQ,,,,,,,,482L-M-Black._ADD,,,482L,,0,00011919748297,,,,,Black,M,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hanes Mens Sport™ FreshIQ™ Cool DRI® Long Sleeve Tee - L, Black",hanes-mens-sport-freshiq-cool-dri-long-sleeve-tee-l-black,65209,69376,"Size: L, Color: Black","Wanna stay dry? No sweat. Our Cool DRI® T-Shirt's dry-fast technology keeps you cool and comfortable even when the competition heats up. Plus Cool DRI® T-Shirts carry an excellent Ultraviolet Protection Factor rating of 50 . Rapid-dry interlock jersey knit wicks away moisture to keep you cool50  UPF rating for excellent UV protection. More tailored contemporary fit. Tag-free neckline. Double-needle stitching in neck sleeves and bottom hem for added durability. Safety colors offer enhanced visibility.",publish,,6,"2021-08-31 09:44:33",1,closed,#6415,1354,,,no,no,1976,7.7100,,6.528,,,,,instock,no,no,,yes,taxable,,,,,,,'-1,'-1,,,"https://appareldirectdistributor.com/wp-content/uploads/2021/10/Hanes_482L_Black_sw.jpg ! alt :  ! title : Hanes_482L_Black_sw ! desc :  ! caption : ",,https://appareldirectdistributor.com/product/hanes-mens-sport-freshiq-cool-dri-long-sleeve-tee/,,,,,,,,,,,,Hanes,Men,"Hanes Sport",FreshIQ,,,,,,,,482L-L-Black._ADD,,,482L,,0,00011919748907,,,,,Black,L,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hanes Mens Sport™ FreshIQ™ Cool DRI® Long Sleeve Tee - XL, Black",hanes-mens-sport-freshiq-cool-dri-long-sleeve-tee-xl-black,65209,69377,"Size: XL, Color: Black","Wanna stay dry? No sweat. Our Cool DRI® T-Shirt's dry-fast technology keeps you cool and comfortable even when the competition heats up. Plus Cool DRI® T-Shirts carry an excellent Ultraviolet Protection Factor rating of 50 . Rapid-dry interlock jersey knit wicks away moisture to keep you cool50  UPF rating for excellent UV protection. More tailored contemporary fit. Tag-free neckline. Double-needle stitching in neck sleeves and bottom hem for added durability. Safety colors offer enhanced visibility.",publish,,7,"2021-08-31 09:44:34",1,closed,#6416,1354,,,no,no,1617,7.7100,,7.232,,,,,instock,no,no,,yes,taxable,,,,,,,'-1,'-1,,,"https://appareldirectdistributor.com/wp-content/uploads/2021/10/Hanes_482L_Black_sw.jpg ! alt :  ! title : Hanes_482L_Black_sw ! desc :  ! caption : ",,https://appareldirectdistributor.com/product/hanes-mens-sport-freshiq-cool-dri-long-sleeve-tee/,,,,,,,,,,,,Hanes,Men,"Hanes Sport",FreshIQ,,,,,,,,482L-XL-Black._ADD,,,482L,,0,00011919748914,,,,,Black,XL,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hanes Mens Sport™ FreshIQ™ Cool DRI® Long Sleeve Tee - 2XL, Black",hanes-mens-sport-freshiq-cool-dri-long-sleeve-tee-2xl-black,65209,69378,"Size: 2XL, Color: Black","Wanna stay dry? No sweat. Our Cool DRI® T-Shirt's dry-fast technology keeps you cool and comfortable even when the competition heats up. Plus Cool DRI® T-Shirts carry an excellent Ultraviolet Protection Factor rating of 50 . Rapid-dry interlock jersey knit wicks away moisture to keep you cool50  UPF rating for excellent UV protection. More tailored contemporary fit. Tag-free neckline. Double-needle stitching in neck sleeves and bottom hem for added durability. Safety colors offer enhanced visibility.",publish,,8,"2021-08-31 09:44:36",1,closed,#6417,1354,,,no,no,685,7.7100,,7.936,,,,,instock,no,no,,yes,taxable,,,,,,,'-1,'-1,,,"https://appareldirectdistributor.com/wp-content/uploads/2021/10/Hanes_482L_Black_sw.jpg ! alt :  ! title : Hanes_482L_Black_sw ! desc :  ! caption : ",,https://appareldirectdistributor.com/product/hanes-mens-sport-freshiq-cool-dri-long-sleeve-tee/,,,,,,,,,,,,Hanes,Men,"Hanes Sport",FreshIQ,,,,,,,,482L-2XL-Black._ADD,,,482L,,0,00011919748921,,,,,Black,2XL,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hanes Mens Sport™ FreshIQ™ Cool DRI® Long Sleeve Tee - 3XL, Black",hanes-mens-sport-freshiq-cool-dri-long-sleeve-tee-3xl-black,65209,69379,"Size: 3XL, Color: Black","Wanna stay dry? No sweat. Our Cool DRI® T-Shirt's dry-fast technology keeps you cool and comfortable even when the competition heats up. Plus Cool DRI® T-Shirts carry an excellent Ultraviolet Protection Factor rating of 50 . Rapid-dry interlock jersey knit wicks away moisture to keep you cool50  UPF rating for excellent UV protection. More tailored contemporary fit. Tag-free neckline. Double-needle stitching in neck sleeves and bottom hem for added durability. Safety colors offer enhanced visibility.",publish,,9,"2021-08-31 09:44:36",1,closed,#6418,1354,,,no,no,615,7.7100,,8.464,,,,,instock,no,no,,yes,taxable,,,,,,,'-1,'-1,,,"https://appareldirectdistributor.com/wp-content/uploads/2021/10/Hanes_482L_Black_sw.jpg ! alt :  ! title : Hanes_482L_Black_sw ! desc :  ! caption : ",,https://appareldirectdistributor.com/product/hanes-mens-sport-freshiq-cool-dri-long-sleeve-tee/,,,,,,,,,,,,Hanes,Men,"Hanes Sport",FreshIQ,,,,,,,,482L-3XL-Black._ADD,,,482L,,0,00011919748938,,,,,Black,3XL,,,,,,,,,,,,,,,,,,,,,,,,,,,
