post_title,post_name,post_parent,ID,post_excerpt,post_content,post_status,post_password,menu_order,post_date,post_author,comment_status,sku,parent_sku,parent,children,downloadable,virtual,stock,regular_price,sale_price,weight,length,width,height,tax_class,stock_status,backorders,sold_individually,low_stock_amount,manage_stock,tax_status,upsell_ids,crosssell_ids,featured,purchase_note,sale_price_dates_from,sale_price_dates_to,download_limit,download_expiry,product_url,button_text,images,downloadable_files,product_page_url,meta:_yoast_wpseo_focuskw,meta:_yoast_wpseo_canonical,meta:_yoast_wpseo_bctitle,meta:_yoast_wpseo_meta-robots-adv,meta:_yoast_wpseo_is_cornerstone,meta:_yoast_wpseo_metadesc,meta:_yoast_wpseo_linkdex,meta:_yoast_wpseo_estimated-reading-time-minutes,meta:_yoast_wpseo_content_score,meta:_yoast_wpseo_title,meta:_yoast_wpseo_metakeywords,tax:product_brand,tax:product_gender,tax:product_collection,tax:product_productline,tax:product_type,tax:product_visibility,tax:product_cat,tax:product_tag,tax:product_shipping_class,meta:aws_url_field,meta:cdn_featured_image,meta:cdn_gallery_urls,meta:cdn_gallery_urls_0_cdn_gallery_link,meta:cdn_gallery_urls_1_cdn_gallery_link,meta:cdn_gallery_urls_2_cdn_gallery_link,meta:cdn_gallery_urls_3_cdn_gallery_link,meta:cdn_gallery_urls_4_cdn_gallery_link,meta:cdn_gallery_urls_5_cdn_gallery_link,meta:cdn_gallery_urls_6_cdn_gallery_link,meta:cdn_gallery_urls_7_cdn_gallery_link,meta:cdn_gallery_urls_8_cdn_gallery_link,meta:cdn_gallery_urls_9_cdn_gallery_link,meta:custom_editor_box,meta:cwg_total_subscribers,meta:fin_sku_field,meta:msrp_field,meta:product_banner,meta:product_style,meta:show_specific_messsage,meta:total_sales,meta:upc_field,meta:wcbvp_variations_data,meta:wcbvp_variations_data_enable,meta:wcbvp_variations_data_override,meta:wcbvp_variations_structure,meta:attribute_pa_color,meta:attribute_pa_size,attribute:pa_bratype,attribute_data:pa_bratype,attribute_default:pa_bratype,attribute:pa_closure,attribute_data:pa_closure,attribute_default:pa_closure,attribute:pa_color,attribute_data:pa_color,attribute_default:pa_color,attribute:pa_countryoforigin,attribute_data:pa_countryoforigin,attribute_default:pa_countryoforigin,attribute:pa_fabric,attribute_data:pa_fabric,attribute_default:pa_fabric,attribute:pa_innerpackqty,attribute_data:pa_innerpackqty,attribute_default:pa_innerpackqty,attribute:pa_neckdesign,attribute_data:pa_neckdesign,attribute_default:pa_neckdesign,attribute:pa_size,attribute_data:pa_size,attribute_default:pa_size,attribute:pa_sleevestyle,attribute_data:pa_sleevestyle,attribute_default:pa_sleevestyle
"Hanes Originals Mens French Terry Sweatshirt",hanes-originals-mens-french-terry-sweatshirt,,1107143,,"BASICS THAT ARE FAR FROM BASIC. This Hanes Originals men's sweatshirt is crafted from soft-on-the-inside, smooth-on-the-outside, tri-blend French terry fabric. Brushed for extra softness and lightweight enough for all seasons, it might just rise to the top of your sweatshirt rotation. Know what's even better? It looks as good as it feels with a V-notch neckline, ribbed collar, cuffs, and hem for that classic crewneck style you love. BE YOURSELF IN HANES ORIGINALS - A stylish collection of cool, modern essentials designed for comfort, made for every body. SUPER SOFT &amp; COMFY FEEL - Tri-blend French terry makes for a soft and lightweight crewneck sweatshirt. CLASSIC CREW - Featuring a ribbed collar, cuff, and hem with a v-notch stitch for a classic crew look. FITS JUST RIGHT - This men's crewneck has a standard fit for a classic look. COLD WATER WASH - Hanes recommends machine washing men's sweatshirts in cold water to reduce energy consumption.",publish,,0,"2024-01-16 23:10:28",1,open,5085,,,,no,no,,,,,12,16,12,,outofstock,no,no,,no,taxable,,,,,,,'-1,'-1,,,"https://appareldirectdistributor.com/wp-content/uploads/2024/01/Hanes_4F29_Acron_Brown_Heather.png ! alt :  ! title : Hanes_4F29_Acron_Brown_Heather ! desc :  ! caption :  | https://appareldirectdistributor.com/wp-content/uploads/2024/01/Hanes_4F29_Black_Heather.jpg ! alt :  ! title : Hanes_4F29_Black_Heather ! desc :  ! caption :  | https://appareldirectdistributor.com/wp-content/uploads/2024/01/Hanes_4F29_Blue_Jay_Heather.jpg ! alt :  ! title : Hanes_4F29_Blue_Jay_Heather ! desc :  ! caption :  | https://appareldirectdistributor.com/wp-content/uploads/2024/01/Hanes_4F29_Cactus_Heather.png ! alt :  ! title : Hanes_4F29_Cactus_Heather ! desc :  ! caption :  | https://appareldirectdistributor.com/wp-content/uploads/2024/01/Hanes_4F29_Camouflage_Green_Heather.jpg ! alt :  ! title : Hanes_4F29_Camouflage_Green_Heather ! desc :  ! caption :  | https://appareldirectdistributor.com/wp-content/uploads/2021/10/coming-soon-img-829.jpg ! alt :  ! title : coming-soon-img.jpg ! desc :  ! caption :  | https://appareldirectdistributor.com/wp-content/uploads/2024/01/Hanes_4F29_Concrete_Heather.jpg ! alt :  ! title : Hanes_4F29_Concrete_Heather ! desc :  ! caption :  | https://appareldirectdistributor.com/wp-content/uploads/2024/01/Hanes_4F29_Mulled_Berry_Heather.png ! alt :  ! title : Hanes_4F29_Mulled_Berry_Heather ! desc :  ! caption :  | https://appareldirectdistributor.com/wp-content/uploads/2024/01/Hanes_4F29_Navy_Heather.jpg ! alt :  ! title : Hanes_4F29_Navy_Heather ! desc :  ! caption :  | https://appareldirectdistributor.com/wp-content/uploads/2024/01/Hanes_4F29_Sandalwood_Red_Heather.jpg ! alt :  ! title : Hanes_4F29_Sandalwood_Red_Heather ! desc :  ! caption :  | https://appareldirectdistributor.com/wp-content/uploads/2024/01/Hanes_4F29_White.jpg ! alt :  ! title : Hanes_4F29_White ! desc :  ! caption : ",,https://appareldirectdistributor.com/product/hanes-originals-mens-french-terry-sweatshirt/,,,,,,,,,,,,Hanes,Men,Originals,"French Terry",variable,outofstock,Uncategorized,,,,,,,,,,,,,,,,,0,,,,4F29,,0,,,,,,,,,,,,,,"Acron Brown Heather|Black Heather|Blue Jay Heather|Cactus Heather|Camouflage Green Heather|Charcoal Heather|Concrete Heather|Mulled Berry Heather|Navy Heather|Sandalwood Red Heather|White",1|1|1,,,,,"47% Polyester, 44% Cotton, 9% Rayon",4|1|0,,1,11|1|0,,Crewneck,2|1|0,,S|M|L|XL|2XL,0|1|1,,"Long Sleeve",3|1|0,
"Hanes Originals Mens French Terry Sweatshirt - XL, Concrete Heather",hanes-originals-mens-french-terry-sweatshirt-concrete-heather-xl,1107143,1107154,"Size: XL, Color: Concrete Heather",,publish,,0,"2024-01-16 23:12:35",1,closed,#438566,5085,,,no,no,0,10.7900,,0.946,,,,parent,outofstock,no,no,,yes,taxable,,,,,,,'-1,'-1,,,"https://appareldirectdistributor.com/wp-content/uploads/2024/01/Hanes_4F29_Concrete_Heather_sw.jpg ! alt :  ! title : Hanes_4F29_Concrete_Heather_sw ! desc :  ! caption : ",,https://appareldirectdistributor.com/product/hanes-originals-mens-french-terry-sweatshirt/,,,,,,,,,,,,,,,,,outofstock,,,,,,,,,,,,,,,,,,,"4F29-XL-Concrete Heather._ADD",0,,4F29,,0,00194959720116,,,,,"Concrete Heather",XL,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hanes Originals Mens French Terry Sweatshirt - XL, Blue Jay Heather",hanes-originals-mens-french-terry-sweatshirt-blue-jay-heather-xl,1107143,1107155,"Size: XL, Color: Blue Jay Heather",,publish,,0,"2024-01-16 23:12:35",1,closed,#438591,5085,,,no,no,0,10.7900,,0.946,,,,parent,outofstock,no,no,,yes,taxable,,,,,,,'-1,'-1,,,"https://appareldirectdistributor.com/wp-content/uploads/2024/01/Hanes_4F29_Blue_Jay_Heather_sw.jpg ! alt :  ! title : Hanes_4F29_Blue_Jay_Heather_sw ! desc :  ! caption : ",,https://appareldirectdistributor.com/product/hanes-originals-mens-french-terry-sweatshirt/,,,,,,,,,,,,,,,,,outofstock,,,,,,,,,,,,,,,,,,,"4F29-XL-Blue Jay Heather._ADD",0,,4F29,,0,00196062117227,,,,,"Blue Jay Heather",XL,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hanes Originals Mens French Terry Sweatshirt - XL, Black Heather",hanes-originals-mens-french-terry-sweatshirt-black-heather-xl,1107143,1107156,"Size: XL, Color: Black Heather",,publish,,0,"2024-01-16 23:12:35",1,closed,#438830,5085,,,no,no,0,10.7900,,0.946,,,,parent,outofstock,no,no,,yes,taxable,,,,,,,'-1,'-1,,,"https://appareldirectdistributor.com/wp-content/uploads/2024/01/Hanes_4F29_Black_Heather_sw.jpg ! alt :  ! title : Hanes_4F29_Black_Heather_sw ! desc :  ! caption : ",,https://appareldirectdistributor.com/product/hanes-originals-mens-french-terry-sweatshirt/,,,,,,,,,,,,,,,,,outofstock,,,,,,,,,,,,,,,,,,,"4F29-XL-Black Heather._ADD",0,,4F29,,0,00194959719967,,,,,"Black Heather",XL,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hanes Originals Mens French Terry Sweatshirt - XL, White",hanes-originals-mens-french-terry-sweatshirt-white-xl,1107143,1107157,"Size: XL, Color: White",,publish,,0,"2024-01-16 23:12:35",1,closed,#438831,5085,,,no,no,0,10.7900,,0.946,,,,parent,outofstock,no,no,,yes,taxable,,,,,,,'-1,'-1,,,"https://appareldirectdistributor.com/wp-content/uploads/2024/01/Hanes_4F29_White_sw.jpg ! alt :  ! title : Hanes_4F29_White_sw ! desc :  ! caption : ",,https://appareldirectdistributor.com/product/hanes-originals-mens-french-terry-sweatshirt/,,,,,,,,,,,,,,,,,outofstock,,,,,,,,,,,,,,,,,,,4F29-XL-White._ADD,0,,4F29,,0,00194959720260,,,,,White,XL,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hanes Originals Mens French Terry Sweatshirt - S, Black Heather",hanes-originals-mens-french-terry-sweatshirt-black-heather-s,1107143,1107158,"Size: S, Color: Black Heather",,publish,,0,"2024-01-16 23:12:36",1,closed,#438903,5085,,,no,no,0,10.7900,,0.708,,,,parent,outofstock,no,no,,yes,taxable,,,,,,,'-1,'-1,,,"https://appareldirectdistributor.com/wp-content/uploads/2024/01/Hanes_4F29_Black_Heather_sw.jpg ! alt :  ! title : Hanes_4F29_Black_Heather_sw ! desc :  ! caption : ",,https://appareldirectdistributor.com/product/hanes-originals-mens-french-terry-sweatshirt/,,,,,,,,,,,,,,,,,outofstock,,,,,,,,,,,,,,,,,,,"4F29-S-Black Heather._ADD",0,,4F29,,0,00194959719936,,,,,"Black Heather",S,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hanes Originals Mens French Terry Sweatshirt - M, Camouflage Green Heather",hanes-originals-mens-french-terry-sweatshirt-camouflage-green-heather-m,1107143,1107159,"Size: M, Color: Camouflage Green Heather",,publish,,0,"2024-01-16 23:12:36",1,closed,#438904,5085,,,no,no,0,10.7900,,0.795,,,,parent,outofstock,no,no,,yes,taxable,,,,,,,'-1,'-1,,,"https://appareldirectdistributor.com/wp-content/uploads/2024/01/Hanes_4F29_Camouflage_Green_Heather_sw.jpg ! alt :  ! title : Hanes_4F29_Camouflage_Green_Heather_sw ! desc :  ! caption : ",,https://appareldirectdistributor.com/product/hanes-originals-mens-french-terry-sweatshirt/,,,,,,,,,,,,,,,,,outofstock,,,,,,,,,,,,,,,,,,,"4F29-M-Camouflage Green Heather._ADD",0,,4F29,,0,00194959720048,,,,,"Camouflage Green Heather",M,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hanes Originals Mens French Terry Sweatshirt - S, Concrete Heather",hanes-originals-mens-french-terry-sweatshirt-concrete-heather-s,1107143,1107160,"Size: S, Color: Concrete Heather",,publish,,0,"2024-01-16 23:12:36",1,closed,#438905,5085,,,no,no,0,10.7900,,0.708,,,,parent,outofstock,no,no,,yes,taxable,,,,,,,'-1,'-1,,,"https://appareldirectdistributor.com/wp-content/uploads/2024/01/Hanes_4F29_Concrete_Heather_sw.jpg ! alt :  ! title : Hanes_4F29_Concrete_Heather_sw ! desc :  ! caption : ",,https://appareldirectdistributor.com/product/hanes-originals-mens-french-terry-sweatshirt/,,,,,,,,,,,,,,,,,outofstock,,,,,,,,,,,,,,,,,,,"4F29-S-Concrete Heather._ADD",0,,4F29,,0,00194959720086,,,,,"Concrete Heather",S,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hanes Originals Mens French Terry Sweatshirt - S, Navy Heather",hanes-originals-mens-french-terry-sweatshirt-navy-heather-s,1107143,1107161,"Size: S, Color: Navy Heather",,publish,,0,"2024-01-16 23:12:36",1,closed,#438906,5085,,,no,no,0,10.7900,,0.708,,,,parent,outofstock,no,no,,yes,taxable,,,,,,,'-1,'-1,,,"https://appareldirectdistributor.com/wp-content/uploads/2024/01/Hanes_4F29_Navy_Heather_sw.jpg ! alt :  ! title : Hanes_4F29_Navy_Heather_sw ! desc :  ! caption : ",,https://appareldirectdistributor.com/product/hanes-originals-mens-french-terry-sweatshirt/,,,,,,,,,,,,,,,,,outofstock,,,,,,,,,,,,,,,,,,,"4F29-S-Navy Heather._ADD",0,,4F29,,0,00194959720185,,,,,"Navy Heather",S,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hanes Originals Mens French Terry Sweatshirt - M, White",hanes-originals-mens-french-terry-sweatshirt-white-m,1107143,1107162,"Size: M, Color: White",,publish,,0,"2024-01-16 23:12:37",1,closed,#438907,5085,,,no,no,0,10.7900,,0.795,,,,parent,outofstock,no,no,,yes,taxable,,,,,,,'-1,'-1,,,"https://appareldirectdistributor.com/wp-content/uploads/2024/01/Hanes_4F29_White_sw.jpg ! alt :  ! title : Hanes_4F29_White_sw ! desc :  ! caption : ",,https://appareldirectdistributor.com/product/hanes-originals-mens-french-terry-sweatshirt/,,,,,,,,,,,,,,,,,outofstock,,,,,,,,,,,,,,,,,,,4F29-M-White._ADD,0,,4F29,,0,00194959720246,,,,,White,M,,,,,,,,,,,,,,,,,,,,,,,,,,,
