post_title,sku,parent_sku,meta:product_style,stock,manage_stock,tax:product_type,meta:attribute_pa_size,attribute:pa_size,attribute_data:pa_size,meta:attribute_pa_color,attribute:pa_color,attribute_data:pa_color,meta:upc_field,regular_price,meta:msrp_field,Map_Required,weight,swIMG,URL1,URL2,URL3,URL4,post_content,tax:product_brand,tax:product_gender,Category,SubCategory,tax:product_collection,tax:product_productline,attribute:pa_fabric,attribute_data:pa_fabric,attribute:pa_neckdesign,attribute_data:pa_neckdesign,attribute:pa_sleevestyle,attribute_data:pa_sleevestyle,attribute:pa_bratype,attribute_data:pa_bratype,attribute:pa_closure,attribute_data:pa_closure,attribute:pa_controllevel,attribute_data:pa_controllevel,attribute:pa_silhouette,attribute_data:pa_silhouette,attribute:pa_bigandtall,attribute_data:pa_bigandtall,attribute:pa_inseam,attribute_data:pa_inseam,attribute:pa_innerpackqty,attribute_data:pa_innerpackqty,attribute:pa_countryoforigin,attribute_data:pa_countryoforigin,ParentImage
Hanes Mens Soft And Breathable Tank Assorted 6-Pack,1301,,392BG6,,,,,S|M|L|XL|2XL,,,ASU,,00194164208324,10.48,0,0,0.88,https://cdn1.nuorder.com/product/22daf24e8c75380042d0289ee8ca541d.jpg|https://cdn1.nuorder.com/product/a1bfaa02f0e29cf4a6f73f1abe618ef5.jpg|https://cdn1.nuorder.com/product/c9a37102a93b5f9566ea72e729e98ade.jpg,https://cdn1.nuorder.com/product/22daf24e8c75380042d0289ee8ca541d.jpg,https://cdn1.nuorder.com/product/a1bfaa02f0e29cf4a6f73f1abe618ef5.jpg,https://cdn1.nuorder.com/product/c9a37102a93b5f9566ea72e729e98ade.jpg,NULL,FreshIQ® advanced odor protection technology attacks the odor-causing bacteria in your clothing that causes your underwear and socks to smell — so now you can feel fresh all day. Soft and breathable fabric for added comfort. Cool Comfort® wicking fabric keeps you cool for all day comfort. Tagfree for itch-free comfort. Clean finished bottom hem looks good worn outside or tucked in. Available in a convenient assorted 6-pack.,Hanes,Men,Underwear,Tops,ComfortSoft,FreshIQ,100% cotton (solids) 75% cotton/25% polyester heathers,,Scoop,,Tank,,,,,,,,,,,,,,6,,IMPORTED,,https://cdn1.nuorder.com/product/22daf24e8c75380042d0289ee8ca541d.jpg
Hanes Mens Soft And Breathable Tank Assorted 6-Pack,62188,1301,392BG6,106,yes,,S,,,ASU,,,00194164208324,10.48,0,0,0.88,https://nylimages.s3.amazonaws.com/HNS_392BG6_Assorted_Detail02.jpg,https://cdn1.nuorder.com/product/22daf24e8c75380042d0289ee8ca541d.jpg,https://cdn1.nuorder.com/product/a1bfaa02f0e29cf4a6f73f1abe618ef5.jpg,https://cdn1.nuorder.com/product/c9a37102a93b5f9566ea72e729e98ade.jpg,NULL,FreshIQ® advanced odor protection technology attacks the odor-causing bacteria in your clothing that causes your underwear and socks to smell — so now you can feel fresh all day. Soft and breathable fabric for added comfort. Cool Comfort® wicking fabric keeps you cool for all day comfort. Tagfree for itch-free comfort. Clean finished bottom hem looks good worn outside or tucked in. Available in a convenient assorted 6-pack.,Hanes,Men,Underwear,Tops,ComfortSoft,FreshIQ,100% cotton (solids) 75% cotton/25% polyester heathers,,Scoop,,Tank,,,,,,,,,,,,,,6,,IMPORTED,,https://cdn1.nuorder.com/product/22daf24e8c75380042d0289ee8ca541d.jpg
Hanes Mens Soft And Breathable Tank Assorted 6-Pack,62189,1301,392BG6,260,yes,,M,,,ASU,,,00194164208331,10.48,0,0,0.97,https://nylimages.s3.amazonaws.com/HNS_392BG6_Assorted_Detail02.jpg,https://cdn1.nuorder.com/product/22daf24e8c75380042d0289ee8ca541d.jpg,https://cdn1.nuorder.com/product/a1bfaa02f0e29cf4a6f73f1abe618ef5.jpg,https://cdn1.nuorder.com/product/c9a37102a93b5f9566ea72e729e98ade.jpg,NULL,FreshIQ® advanced odor protection technology attacks the odor-causing bacteria in your clothing that causes your underwear and socks to smell — so now you can feel fresh all day. Soft and breathable fabric for added comfort. Cool Comfort® wicking fabric keeps you cool for all day comfort. Tagfree for itch-free comfort. Clean finished bottom hem looks good worn outside or tucked in. Available in a convenient assorted 6-pack.,Hanes,Men,Underwear,Tops,ComfortSoft,FreshIQ,100% cotton (solids) 75% cotton/25% polyester heathers,,Scoop,,Tank,,,,,,,,,,,,,,6,,IMPORTED,,https://cdn1.nuorder.com/product/22daf24e8c75380042d0289ee8ca541d.jpg
Hanes Mens Soft And Breathable Tank Assorted 6-Pack,62190,1301,392BG6,0,yes,,L,,,ASU,,,00194164208348,10.48,0,0,1.2,https://nylimages.s3.amazonaws.com/HNS_392BG6_Assorted_Detail02.jpg,https://cdn1.nuorder.com/product/22daf24e8c75380042d0289ee8ca541d.jpg,https://cdn1.nuorder.com/product/a1bfaa02f0e29cf4a6f73f1abe618ef5.jpg,https://cdn1.nuorder.com/product/c9a37102a93b5f9566ea72e729e98ade.jpg,NULL,FreshIQ® advanced odor protection technology attacks the odor-causing bacteria in your clothing that causes your underwear and socks to smell — so now you can feel fresh all day. Soft and breathable fabric for added comfort. Cool Comfort® wicking fabric keeps you cool for all day comfort. Tagfree for itch-free comfort. Clean finished bottom hem looks good worn outside or tucked in. Available in a convenient assorted 6-pack.,Hanes,Men,Underwear,Tops,ComfortSoft,FreshIQ,100% cotton (solids) 75% cotton/25% polyester heathers,,Scoop,,Tank,,,,,,,,,,,,,,6,,IMPORTED,,https://cdn1.nuorder.com/product/22daf24e8c75380042d0289ee8ca541d.jpg
Hanes Mens Soft And Breathable Tank Assorted 6-Pack,62191,1301,392BG6,79,yes,,XL,,,ASU,,,00194164208355,10.48,0,0,1.4,https://nylimages.s3.amazonaws.com/HNS_392BG6_Assorted_Detail02.jpg,https://cdn1.nuorder.com/product/22daf24e8c75380042d0289ee8ca541d.jpg,https://cdn1.nuorder.com/product/a1bfaa02f0e29cf4a6f73f1abe618ef5.jpg,https://cdn1.nuorder.com/product/c9a37102a93b5f9566ea72e729e98ade.jpg,NULL,FreshIQ® advanced odor protection technology attacks the odor-causing bacteria in your clothing that causes your underwear and socks to smell — so now you can feel fresh all day. Soft and breathable fabric for added comfort. Cool Comfort® wicking fabric keeps you cool for all day comfort. Tagfree for itch-free comfort. Clean finished bottom hem looks good worn outside or tucked in. Available in a convenient assorted 6-pack.,Hanes,Men,Underwear,Tops,ComfortSoft,FreshIQ,100% cotton (solids) 75% cotton/25% polyester heathers,,Scoop,,Tank,,,,,,,,,,,,,,6,,IMPORTED,,https://cdn1.nuorder.com/product/22daf24e8c75380042d0289ee8ca541d.jpg
Hanes Mens Soft And Breathable Tank Assorted 6-Pack,62192,1301,392BG6,0,yes,,2XL,,,ASU,,,00194164208362,13.39,0,0,1.55,https://nylimages.s3.amazonaws.com/HNS_392BG6_Assorted_Detail02.jpg,https://cdn1.nuorder.com/product/22daf24e8c75380042d0289ee8ca541d.jpg,https://cdn1.nuorder.com/product/a1bfaa02f0e29cf4a6f73f1abe618ef5.jpg,https://cdn1.nuorder.com/product/c9a37102a93b5f9566ea72e729e98ade.jpg,NULL,FreshIQ® advanced odor protection technology attacks the odor-causing bacteria in your clothing that causes your underwear and socks to smell — so now you can feel fresh all day. Soft and breathable fabric for added comfort. Cool Comfort® wicking fabric keeps you cool for all day comfort. Tagfree for itch-free comfort. Clean finished bottom hem looks good worn outside or tucked in. Available in a convenient assorted 6-pack.,Hanes,Men,Underwear,Tops,ComfortSoft,FreshIQ,100% cotton (solids) 75% cotton/25% polyester heathers,,Scoop,,Tank,,,,,,,,,,,,,,6,,IMPORTED,,https://cdn1.nuorder.com/product/22daf24e8c75380042d0289ee8ca541d.jpg
Hanes Mens TAGLESS Ribbed A-Shirt 4-Pack,1302,,392P4,,,,,S|M|L|XL|2XL,,,Assorted,,00075338505145,8,0,0,0.58,https://nylimages.s3.amazonaws.com/HBI_114830_alt01.jpg,https://nylimages.s3.amazonaws.com/HBI_114830_alt01.jpg,NULL,NULL,NULL,"Tired of baggy undershirts? Try this Hanes Men`s A-Shirt. Soft ComfortSoft® cotton knit feels good against your skin. Fine ribbing for sleek, shape-keeping fit. Durably bound armholes resist stretch-out. Sculpting fit. TAGLESS® for a comfortable, no-itch neckline. Clean-finished, longer hem stays neatly tucked. Convenient 4-pack may be all black, all grey or a combination of both.",Hanes,Men,Underwear,Tops,Tagless,Tagless,100% Cotton; Heathers: Cotton/polyester,,Scoop,,Tank,,,,,,,,,,,,,,4,,IMPORTED,,https://nylimages.s3.amazonaws.com/HBI_114830_alt01.jpg
Hanes Mens TAGLESS Ribbed A-Shirt 4-Pack,16130,1302,392P4,0,yes,,S,,,Assorted,,,00075338505145,8,0,0,0.58,https://nylimages.s3.amazonaws.com/EBY_114830_Assorted_sw.jpg,https://nylimages.s3.amazonaws.com/HBI_114830_alt01.jpg,NULL,NULL,NULL,"Tired of baggy undershirts? Try this Hanes Men`s A-Shirt. Soft ComfortSoft® cotton knit feels good against your skin. Fine ribbing for sleek, shape-keeping fit. Durably bound armholes resist stretch-out. Sculpting fit. TAGLESS® for a comfortable, no-itch neckline. Clean-finished, longer hem stays neatly tucked. Convenient 4-pack may be all black, all grey or a combination of both.",Hanes,Men,Underwear,Tops,Tagless,Tagless,100% Cotton; Heathers: Cotton/polyester,,Scoop,,Tank,,,,,,,,,,,,,,4,,IMPORTED,,https://nylimages.s3.amazonaws.com/HBI_114830_alt01.jpg
Hanes Mens TAGLESS Ribbed A-Shirt 4-Pack,16131,1302,392P4,0,yes,,M,,,Assorted,,,00075338505152,8,0,0,0.69,https://nylimages.s3.amazonaws.com/EBY_114830_Assorted_sw.jpg,https://nylimages.s3.amazonaws.com/HBI_114830_alt01.jpg,NULL,NULL,NULL,"Tired of baggy undershirts? Try this Hanes Men`s A-Shirt. Soft ComfortSoft® cotton knit feels good against your skin. Fine ribbing for sleek, shape-keeping fit. Durably bound armholes resist stretch-out. Sculpting fit. TAGLESS® for a comfortable, no-itch neckline. Clean-finished, longer hem stays neatly tucked. Convenient 4-pack may be all black, all grey or a combination of both.",Hanes,Men,Underwear,Tops,Tagless,Tagless,100% Cotton; Heathers: Cotton/polyester,,Scoop,,Tank,,,,,,,,,,,,,,4,,IMPORTED,,https://nylimages.s3.amazonaws.com/HBI_114830_alt01.jpg
Hanes Mens TAGLESS Ribbed A-Shirt 4-Pack,16132,1302,392P4,0,yes,,L,,,Assorted,,,00075338505169,8,0,0,0.79,https://nylimages.s3.amazonaws.com/EBY_114830_Assorted_sw.jpg,https://nylimages.s3.amazonaws.com/HBI_114830_alt01.jpg,NULL,NULL,NULL,"Tired of baggy undershirts? Try this Hanes Men`s A-Shirt. Soft ComfortSoft® cotton knit feels good against your skin. Fine ribbing for sleek, shape-keeping fit. Durably bound armholes resist stretch-out. Sculpting fit. TAGLESS® for a comfortable, no-itch neckline. Clean-finished, longer hem stays neatly tucked. Convenient 4-pack may be all black, all grey or a combination of both.",Hanes,Men,Underwear,Tops,Tagless,Tagless,100% Cotton; Heathers: Cotton/polyester,,Scoop,,Tank,,,,,,,,,,,,,,4,,IMPORTED,,https://nylimages.s3.amazonaws.com/HBI_114830_alt01.jpg
